PHR,group,level,n,answer,pct,low,high
4,Disability Status,Has disability,78,YES,48.2,31.9,64.9
4,Disability Status,No disability,135,YES,35.0,25.7,45.6
4,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
4,Sexual Orientation,Straight,156,YES,38.2,29.0,48.3
4,Total,Total,214,NO,61.1,52.0,69.5
4,Sex,Male,104,NO,62.0,49.5,73.1
4,Sex,Female,110,NO,60.3,47.1,72.2
4,Race/Ethnicity,"White, Non-Hispanic",157,NO,60.9,51.5,69.6
4,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
4,Race/Ethnicity,Hispanic,N,NO,,,
4,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
4,Age,18 to 29,N,NO,,,
4,Age,30 to 44,N,NO,,,
4,Age,45 to 64,67,NO,71.7,56.4,83.2
4,Age,65+,89,NO,32.1,19.6,47.7
4,Education,Less than high school,N,NO,,,
4,Education,High school graduate,75,NO,66.0,51.8,77.9
4,Education,Some college,67,NO,62.1,48.2,74.2
4,Education,College graduate,59,NO,54.0,37.2,69.8
4,Income,"<$25,000",N,NO,,,
4,Income,"$25,000 to <$50,000",59,NO,51.3,34.0,68.3
4,Income,"$50,000+",79,NO,73.0,59.4,83.3
4,Marital Status,Married,105,NO,61.1,49.0,72.0
4,Marital Status,Not married,109,NO,61.1,47.1,73.4
4,Employment Status,Employed,88,NO,81.2,68.4,89.6
4,Employment Status,Not employed,123,NO,40.1,28.2,53.3
4,Health Insurance,Health insurance,191,NO,59.4,49.6,68.5
4,Health Insurance,No health insurance,N,NO,,,
4,Disability Status,Has disability,78,NO,51.8,35.1,68.1
4,Disability Status,No disability,135,NO,65.0,54.4,74.3
4,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
4,Sexual Orientation,Straight,156,NO,61.8,51.7,71.0
5,Total,Total,503,YES,29.3,22.7,36.9
5,Sex,Male,229,YES,26.6,17.9,37.4
5,Sex,Female,274,YES,32.3,22.9,43.3
5,Race/Ethnicity,"White, Non-Hispanic",325,YES,36.6,26.9,47.6
5,Race/Ethnicity,"Black, Non-Hispanic",78,YES,37.8,21.0,58.2
5,Race/Ethnicity,Hispanic,65,YES,,,
5,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
5,Age,18 to 29,51,YES,,,
5,Age,30 to 44,77,YES,,,
5,Age,45 to 64,157,YES,24.0,14.1,37.7
5,Age,65+,213,YES,69.4,55.7,80.3
5,Education,Less than high school,N,YES,,,
5,Education,High school graduate,158,YES,27.7,17.7,40.5
5,Education,Some college,158,YES,34.1,21.8,49.1
5,Education,College graduate,147,YES,27.9,18.0,40.5
5,Income,"<$25,000",81,YES,25.8,14.3,41.9
5,Income,"$25,000 to <$50,000",113,YES,25.8,16.6,37.9
5,Income,"$50,000+",217,YES,25.7,15.7,39.1
5,Marital Status,Married,234,YES,31.0,21.4,42.4
5,Marital Status,Not married,267,YES,27.8,19.2,38.4
5,Employment Status,Employed,209,YES,15.3,8.9,25.3
5,Employment Status,Not employed,286,YES,42.7,31.6,54.6
5,Health Insurance,Health insurance,434,YES,34.6,26.9,43.2
5,Health Insurance,No health insurance,N,YES,,,
5,Disability Status,Has disability,186,YES,46.4,33.2,60.1
5,Disability Status,No disability,313,YES,20.9,13.9,30.3
5,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
5,Sexual Orientation,Straight,430,YES,32.3,24.5,41.2
5,Total,Total,503,NO,70.7,63.1,77.3
5,Sex,Male,229,NO,73.4,62.6,82.1
5,Sex,Female,274,NO,67.7,56.7,77.1
5,Race/Ethnicity,"White, Non-Hispanic",325,NO,63.4,52.4,73.1
5,Race/Ethnicity,"Black, Non-Hispanic",78,NO,62.2,41.8,79.0
5,Race/Ethnicity,Hispanic,65,NO,86.7,72.9,94.0
5,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
5,Age,18 to 29,51,NO,91.5,76.0,97.4
5,Age,30 to 44,77,NO,85.5,72.8,92.8
5,Age,45 to 64,157,NO,76.0,62.3,85.9
5,Age,65+,213,NO,30.6,19.7,44.3
5,Education,Less than high school,N,NO,,,
5,Education,High school graduate,158,NO,72.3,59.5,82.3
5,Education,Some college,158,NO,65.9,50.9,78.2
5,Education,College graduate,147,NO,72.1,59.5,82.0
5,Income,"<$25,000",81,NO,74.2,58.1,85.7
5,Income,"$25,000 to <$50,000",113,NO,74.2,62.1,83.4
5,Income,"$50,000+",217,NO,74.3,60.9,84.3
5,Marital Status,Married,234,NO,69.0,57.6,78.6
5,Marital Status,Not married,267,NO,72.2,61.6,80.8
5,Employment Status,Employed,209,NO,84.7,74.7,91.1
5,Employment Status,Not employed,286,NO,57.3,45.4,68.4
5,Health Insurance,Health insurance,434,NO,65.4,56.8,73.1
5,Health Insurance,No health insurance,N,NO,,,
5,Disability Status,Has disability,186,NO,53.6,39.9,66.8
5,Disability Status,No disability,313,NO,79.1,69.7,86.1
5,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
5,Sexual Orientation,Straight,430,NO,67.7,58.8,75.5
6,Total,Total,"1,388",YES,30.4,26.0,35.2
6,Sex,Male,730,YES,26.2,21.0,32.2
6,Sex,Female,658,YES,34.6,27.7,42.1
6,Race/Ethnicity,"White, Non-Hispanic",768,YES,39.2,32.4,46.4
6,Race/Ethnicity,"Black, Non-Hispanic",161,YES,33.1,22.2,46.1
6,Race/Ethnicity,Hispanic,324,YES,21.0,14.9,28.9
6,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",114,YES,32.2,17.3,52.0
6,Age,18 to 29,244,YES,18.1,11.3,27.8
6,Age,30 to 44,313,YES,11.2,6.6,18.3
6,Age,45 to 64,423,YES,29.0,21.5,38.0
6,Age,65+,396,YES,69.6,58.7,78.6
6,Education,Less than high school,99,YES,,,
6,Education,High school graduate,307,YES,22.8,15.7,32.0
6,Education,Some college,336,YES,39.5,30.0,49.7
6,Education,College graduate,637,YES,32.3,26.2,39.1
6,Income,"<$25,000",169,YES,27.3,16.7,41.4
6,Income,"$25,000 to <$50,000",277,YES,28.4,19.9,38.8
6,Income,"$50,000+",721,YES,30.3,23.9,37.5
6,Marital Status,Married,668,YES,28.2,21.8,35.6
6,Marital Status,Not married,707,YES,32.6,26.7,39.1
6,Employment Status,Employed,753,YES,17.8,13.1,23.7
6,Employment Status,Not employed,626,YES,48.0,40.6,55.6
6,Health Insurance,Health insurance,"1,147",YES,35.2,30.0,40.7
6,Health Insurance,No health insurance,169,YES,,,
6,Disability Status,Has disability,416,YES,37.9,29.4,47.2
6,Disability Status,No disability,967,YES,27.4,22.3,33.1
6,Sexual Orientation,"Gay, Lesbian, or Bisexual",68,YES,,,
6,Sexual Orientation,Straight,"1,051",YES,35.4,29.7,41.5
6,Total,Total,"1,388",NO,69.6,64.8,74.0
6,Sex,Male,730,NO,73.8,67.8,79.0
6,Sex,Female,658,NO,65.4,57.9,72.3
6,Race/Ethnicity,"White, Non-Hispanic",768,NO,60.8,53.6,67.6
6,Race/Ethnicity,"Black, Non-Hispanic",161,NO,66.9,53.9,77.8
6,Race/Ethnicity,Hispanic,324,NO,79.0,71.1,85.1
6,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",114,NO,67.8,48.0,82.7
6,Age,18 to 29,244,NO,81.9,72.2,88.7
6,Age,30 to 44,313,NO,88.8,81.7,93.4
6,Age,45 to 64,423,NO,71.0,62.0,78.5
6,Age,65+,396,NO,30.4,21.4,41.3
6,Education,Less than high school,99,NO,79.5,61.4,90.4
6,Education,High school graduate,307,NO,77.2,68.0,84.3
6,Education,Some college,336,NO,60.5,50.3,70.0
6,Education,College graduate,637,NO,67.7,60.9,73.8
6,Income,"<$25,000",169,NO,72.7,58.6,83.3
6,Income,"$25,000 to <$50,000",277,NO,71.6,61.2,80.1
6,Income,"$50,000+",721,NO,69.7,62.5,76.1
6,Marital Status,Married,668,NO,71.8,64.4,78.2
6,Marital Status,Not married,707,NO,67.4,60.9,73.3
6,Employment Status,Employed,753,NO,82.2,76.3,86.9
6,Employment Status,Not employed,626,NO,52.0,44.4,59.4
6,Health Insurance,Health insurance,"1,147",NO,64.8,59.3,70.0
6,Health Insurance,No health insurance,169,NO,95.7,90.8,98.0
6,Disability Status,Has disability,416,NO,62.1,52.8,70.6
6,Disability Status,No disability,967,NO,72.6,66.9,77.7
6,Sexual Orientation,"Gay, Lesbian, or Bisexual",68,NO,77.7,52.0,91.8
6,Sexual Orientation,Straight,"1,051",NO,64.6,58.5,70.3
7,Total,Total,"1,090",YES,35.4,31.7,39.3
7,Sex,Male,540,YES,33.2,28.3,38.6
7,Sex,Female,550,YES,37.3,31.9,43.0
7,Race/Ethnicity,"White, Non-Hispanic",699,YES,40.3,35.7,45.0
7,Race/Ethnicity,"Black, Non-Hispanic",63,YES,35.2,22.0,51.3
7,Race/Ethnicity,Hispanic,222,YES,28.0,20.7,36.6
7,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",88,YES,29.0,18.1,43.0
7,Age,18 to 29,203,YES,26.0,18.7,35.0
7,Age,30 to 44,270,YES,17.1,12.2,23.4
7,Age,45 to 64,303,YES,32.1,25.7,39.2
7,Age,65+,299,YES,75.0,66.4,82.0
7,Education,Less than high school,58,YES,,,
7,Education,High school graduate,213,YES,38.2,29.8,47.4
7,Education,Some college,262,YES,34.9,28.1,42.4
7,Education,College graduate,553,YES,37.4,32.7,42.3
7,Income,"<$25,000",102,YES,41.3,27.4,56.7
