source_file,group,category,sample_size,response,pct,ci_low,ci_high
2024_PHR2_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,831,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,68,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,330,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,551,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
2024_PHR2_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,824,NO,10.5,5.8,18.3
2024_PHR3_BRFSS_Summary_Tables.xlsx,Total,Total,"2,643",YES,76.8,74.5,79.0
2024_PHR3_BRFSS_Summary_Tables.xlsx,Sex,Male,"1,352",YES,74.1,70.8,77.2
2024_PHR3_BRFSS_Summary_Tables.xlsx,Sex,Female,"1,291",YES,79.4,76.0,82.4
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic","1,588",YES,81.0,78.1,83.6
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",290,YES,76.1,69.1,82.0
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,423,YES,71.3,65.6,76.4
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",285,YES,73.7,66.8,79.5
2024_PHR3_BRFSS_Summary_Tables.xlsx,Age,18 to 29,459,YES,62.1,56.0,68.0
2024_PHR3_BRFSS_Summary_Tables.xlsx,Age,30 to 44,668,YES,66.5,61.5,71.2
2024_PHR3_BRFSS_Summary_Tables.xlsx,Age,45 to 64,783,YES,83.8,80.1,86.9
2024_PHR3_BRFSS_Summary_Tables.xlsx,Age,65+,692,YES,96.9,95.3,98.0
2024_PHR3_BRFSS_Summary_Tables.xlsx,Education,Less than high school,134,YES,77.9,68.1,85.3
2024_PHR3_BRFSS_Summary_Tables.xlsx,Education,High school graduate,572,YES,73.5,68.0,78.3
2024_PHR3_BRFSS_Summary_Tables.xlsx,Education,Some college,709,YES,75.6,71.0,79.6
2024_PHR3_BRFSS_Summary_Tables.xlsx,Education,College graduate,"1,214",YES,79.8,76.7,82.5
2024_PHR3_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",244,YES,74.4,65.7,81.5
2024_PHR3_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",469,YES,71.4,65.1,77.0
2024_PHR3_BRFSS_Summary_Tables.xlsx,Income,"$50,000+","1,410",YES,77.0,73.8,79.9
2024_PHR3_BRFSS_Summary_Tables.xlsx,Marital Status,Married,"1,360",YES,80.6,77.5,83.3
2024_PHR3_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,"1,256",YES,72.7,69.0,76.2
2024_PHR3_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,"1,493",YES,72.1,68.9,75.1
2024_PHR3_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,"1,091",YES,85.6,82.3,88.4
2024_PHR3_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,"2,248",YES,82.4,80.1,84.5
2024_PHR3_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,274,YES,43.2,35.1,51.8
2024_PHR3_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,725,YES,82.4,78.1,85.9
2024_PHR3_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,"1,735",YES,75.3,72.3,78.0
2024_PHR3_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",158,YES,75.2,65.9,82.6
2024_PHR3_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,"2,033",YES,79.5,76.9,81.9
2024_PHR3_BRFSS_Summary_Tables.xlsx,Total,Total,"2,643",NO,10.3,8.8,12.1
2024_PHR3_BRFSS_Summary_Tables.xlsx,Sex,Male,"1,352",NO,9.6,7.7,11.8
2024_PHR3_BRFSS_Summary_Tables.xlsx,Sex,Female,"1,291",NO,11.1,8.7,13.9
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic","1,588",NO,8.7,6.8,11.1
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",290,NO,10.8,7.2,15.8
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,423,NO,11.7,8.3,16.1
2024_PHR3_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",285,NO,12.9,8.9,18.3
