Sheet,1,2,3,4,5,6,7,8,9,10,11
Flu Vaccine Location - Workplace,R,4.1,5.7,R,R,R,5.8,6.5,R,R,R
Frequency of Smoking - Every day,24.4,18.7,15.8,23.5,22.4,23.3,20.6,15.6,30.5,17.9,12.9
Frequency of Smoking - Not at all,66.5,69.5,75.2,61.5,58.5,65.6,71.6,75.5,60.1,62.1,65.9
Frequency of Smoking - Some days,9.0,R,9.0,R,R,11.1,7.8,8.9,9.4,20.0,21.2
General Health - Excellent,11.1,7.4,16.2,17.9,16.0,17.3,16.0,16.5,15.8,12.8,12.3
General Health - Fair,20.2,18.0,15.9,13.7,14.5,14.0,14.7,18.3,18.9,20.9,21.3
General Health - Good,35.0,34.1,36.1,30.9,33.1,37.2,34.7,33.9,30.4,35.1,31.1
General Health - Poor,R,R,4.2,7.3,R,4.2,3.7,4.6,R,4.5,7.4
General Health - Very Good,29.2,31.1,27.6,30.2,27.3,27.3,30.9,26.7,27.5,26.8,27.9
Given Up Day-to-Day Activiti - Always,35.8,27.7,38.6,N,58.6,R,33.6,47.0,N,N,N
Given Up Day-to-Day Activiti - Never,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N
Given Up Day-to-Day Activiti - Rarely,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N
Given Up Day-to-Day Activiti - Sometimes,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N
Given Up Day-to-Day Activiti - Usually,64.2,72.3,61.4,N,41.4,74.2,66.4,53.0,N,N,N
HIV Risk Behavior - No,96.1,94.2,94.2,97.1,93.2,92.9,92.7,93.7,92.5,91.4,95.3
HIV Risk Behavior - Yes,3.9,R,5.8,R,R,7.1,7.3,6.3,7.5,8.6,4.7
HIV-AIDS Test - No,63.5,62.0,58.7,62.4,55.7,51.2,60.4,59.1,54.2,60.7,60.4
HIV-AIDS Test - Yes,36.5,38.0,41.3,37.6,44.3,48.8,39.6,40.9,45.8,39.3,39.6
HPV Test Past 5 Yrs 21-65 - No,56.0,46.4,60.2,N,61.8,56.1,58.5,60.3,57.7,66.8,61.4
HPV Test Past 5 Yrs 21-65 - Yes,44.0,53.6,39.8,N,38.2,43.9,41.5,39.7,42.3,33.2,38.6
HPV Test Past 5 Yrs 21-65 IA - No,56.1,46.2,60.4,N,62.3,56.2,58.8,60.2,57.7,69.5,61.4
HPV Test Past 5 Yrs 21-65 IA - Yes,43.9,53.8,39.6,N,37.7,43.8,41.2,39.8,42.3,30.5,38.6
Have At Least One Personal D - No,23.7,13.8,20.3,17.2,24.4,28.8,19.0,20.2,26.4,24.4,29.8
Have At Least One Personal D - Yes,76.3,86.2,79.7,82.8,75.6,71.2,81.0,79.8,73.6,75.6,70.2
Health Care Coverage - No,14.6,8.6,13.7,16.5,16.8,17.7,9.8,11.6,14.7,15.4,23.8
Health Care Coverage - Yes,85.4,91.4,86.3,83.5,83.2,82.3,90.2,88.4,85.3,84.6,76.2
Health Care Coverage Age 18- - No,18.4,12.4,16.9,23.0,20.4,21.6,11.4,14.5,17.2,20.1,28.5
Health Care Coverage Age 18- - Yes,81.6,87.6,83.1,77.0,79.6,78.4,88.6,85.5,82.8,79.9,71.5
Health Care Provider - More than one,25.9,31.7,33.9,31.8,24.2,29.8,36.5,33.6,25.2,24.7,22.6
Health Care Provider - No,23.7,13.8,20.3,17.2,24.4,28.8,19.0,20.2,26.4,24.4,29.8
"Health Care Provider - Yes, only one",50.3,54.6,45.8,51.0,51.4,41.4,44.5,46.1,48.4,50.9,47.6
Heart Attack - No,95.1,93.0,96.6,90.1,94.2,97.2,96.4,96.3,95.4,95.9,94.3
Heart Attack - Yes,4.9,7.0,3.4,9.9,R,2.8,3.6,3.7,R,4.1,5.7
Heart Disease - No,91.7,90.6,94.2,87.2,92.0,95.6,94.6,94.6,94.1,94.6,92.8
Heart Disease - Yes,8.3,9.4,5.8,12.8,8.0,4.4,5.4,5.4,R,5.4,7.2
Heated TBCO Products - No,93.4,90.2,87.2,83.0,89.7,88.9,88.5,88.8,92.8,86.8,88.7
Heated TBCO Products - Yes,6.6,9.8,12.8,17.0,10.3,11.1,11.5,11.2,7.2,13.2,11.3
Heavy Drinking - Females - No,97.8,97.9,93.2,94.6,97.4,95.5,92.8,92.3,93.1,98.6,96.8
Heavy Drinking - Females - Yes,R,R,6.8,R,R,R,7.2,7.7,R,R,R
Heavy Drinking - Males - No,93.7,95.4,95.2,95.3,89.1,89.4,92.7,89.7,94.9,93.9,97.8
Heavy Drinking - Males - Yes,6.3,4.6,4.8,R,R,10.6,7.3,10.3,R,6.1,R
Heavy Drinking - No,95.9,96.7,94.2,94.9,93.1,92.5,92.8,91.0,94.1,96.1,97.3
Heavy Drinking - Yes,4.1,3.3,5.8,R,R,7.5,7.2,9.0,5.9,3.9,R
Hlth Affected Activ 14+ Days - 14 or more days,11.1,11.2,8.9,10.8,13.3,8.9,8.8,10.9,9.8,12.7,12.2
Hlth Affected Activ 14+ Days - None to less than 14 days,88.9,88.8,91.1,89.2,86.7,91.1,91.2,89.1,90.2,87.3,87.8
Hlth Affected Activ 5+ Days - 5 or more days,19.0,20.6,17.4,19.8,24.9,14.8,19.1,22.1,16.3,22.4,21.6
Hlth Affected Activ 5+ Days - None to less than 5 days,81.0,79.4,82.6,80.2,75.1,85.2,80.9,77.9,83.7,77.6,78.4
Home BP Check - No,21.6,9.5,17.9,R,17.9,24.1,23.2,23.1,16.4,23.3,19.3
Home BP Check - Yes,78.4,90.5,82.1,84.0,82.1,75.9,76.8,76.9,83.6,76.7,80.7
Hysterectomy - No,81.1,68.1,76.4,71.4,64.6,80.5,83.0,80.0,71.9,80.8,74.2
Hysterectomy - Yes,18.9,31.9,23.6,28.6,35.4,19.5,17.0,20.0,28.1,19.2,25.8
Insulin - No,72.9,62.6,70.0,N,75.2,68.9,71.9,70.9,82.0,71.7,68.8
Insulin - Yes,27.1,37.4,30.0,N,R,31.1,28.1,29.1,R,28.3,31.2
Interfere w Social Act - Always,22.6,R,35.5,N,49.6,R,18.9,37.3,N,N,N
Interfere w Social Act - Never,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N
Interfere w Social Act - Rarely,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N
Interfere w Social Act - Sometimes,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N
Interfere w Social Act - Usually,77.4,72.0,64.5,N,50.4,81.4,81.1,62.7,N,N,N
Kidney Disease - No,96.5,92.7,96.0,94.6,95.9,97.4,95.7,95.9,95.1,94.6,93.0
Kidney Disease - Yes,3.5,R,4.0,5.4,4.1,2.6,4.3,4.1,R,R,7.0
Last Dentist Visit - 5 or more years,17.1,20.1,10.3,25.6,15.5,12.8,12.0,11.9,16.7,12.7,11.9
Last Dentist Visit - Never,R,R,1.6,R,R,R,R,R,R,R,R
Last Dentist Visit - Within the past 2 years,16.8,7.0,13.1,14.8,20.0,15.5,11.7,11.7,12.7,21.0,13.4
Last Dentist Visit - Within the past 5 years,9.9,19.3,12.9,14.4,16.9,12.6,12.2,12.9,22.0,14.1,13.0
Last Dentist Visit - Within the past year,53.3,53.2,62.2,44.8,46.6,58.4,63.6,61.7,47.7,50.3,56.7
Last Smoked - 10+ years,51.9,44.5,53.6,56.4,67.0,44.2,52.9,49.0,37.8,56.7,37.4
Last Smoked - Never smoked regularly,R,R,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last Smoked - Within past 10 years,10.0,10.2,14.3,R,R,12.0,17.3,11.5,R,R,28.6
Last Smoked - Within past 3 months,R,R,R,R,R,R,R,R,R,R,R
Last Smoked - Within past 5 years,25.1,39.7,17.2,R,R,32.9,18.3,20.2,36.9,22.5,22.2
Last Smoked - Within past 6 months,R,R,R,R,0.0,R,R,R,R,R,R
Last Smoked - Within past month,R,R,4.9,R,R,R,R,R,R,R,R
Last Smoked - Within past year,R,R,R,R,R,R,R,R,R,R,R
Leftover Pain Meds - No,57.2,64.7,59.1,N,60.5,55.5,47.1,54.7,71.4,62.0,52.7
Leftover Pain Meds - Yes,42.8,35.3,40.9,N,39.5,44.5,52.9,45.3,R,38.0,47.3
Leisure Time PA - No,25.1,29.2,23.0,28.1,30.8,25.6,20.7,22.9,24.1,29.6,30.2
Leisure Time PA - Yes,74.9,70.8,77.0,71.9,69.2,74.4,79.3,77.1,75.9,70.4,69.8
Lifetime Asthma - No,78.9,85.4,84.7,84.7,86.8,85.4,84.0,82.2,84.9,88.0,89.9
Lifetime Asthma - Yes,21.1,14.6,15.3,15.3,13.2,14.6,16.0,17.8,15.1,12.0,10.1
Mammogram - No,46.4,32.1,37.3,35.2,36.5,34.3,32.6,28.9,48.2,39.9,43.4
Mammogram - Yes,53.6,67.9,62.7,64.8,63.5,65.7,67.4,71.1,51.8,60.1,56.6
Mammogram Past 2 Yrs 40+ - No,42.7,37.4,26.3,30.2,33.6,24.8,30.1,34.8,37.6,33.2,22.2
