PHR,group,level,n,answer,pct,low,high
,group,category,sample_size,response,pct,ci_low,ci_high
6,Education,Less than high school,104,YES,24.6,13.2,41.2
6,Education,High school graduate,327,YES,26.7,19.1,36.0
6,Education,Some college,358,YES,36.8,27.8,46.9
6,Education,College graduate,683,YES,47.8,40.9,54.8
6,Income,"<$25,000",174,YES,28.9,18.5,42.1
6,Income,"$25,000 to <$50,000",294,YES,27.9,19.7,37.8
6,Income,"$50,000+",768,YES,41.9,35.1,49.0
6,Marital Status,Married,708,YES,39.8,32.8,47.2
6,Marital Status,Not married,760,YES,32.5,26.8,38.9
6,Employment Status,Employed,812,YES,32.3,26.5,38.8
6,Employment Status,Not employed,659,YES,42.4,35.3,49.8
6,Health Insurance,Health insurance,"1,230",YES,40.9,35.6,46.4
6,Health Insurance,No health insurance,178,YES,16.2,9.9,25.5
6,Disability Status,Has disability,439,YES,33.1,25.4,41.8
6,Disability Status,No disability,"1,037",YES,37.5,32.0,43.3
6,Sexual Orientation,"Gay, Lesbian, or Bisexual",79,YES,,,
6,Sexual Orientation,Straight,"1,112",YES,38.3,32.5,44.4
6,Total,Total,"1,482",NO,63.8,59.0,68.4
6,Sex,Male,792,NO,70.7,64.8,75.9
6,Sex,Female,690,NO,56.7,49.3,63.9
6,Race/Ethnicity,"White, Non-Hispanic",817,NO,57.0,50.0,63.8
6,Race/Ethnicity,"Black, Non-Hispanic",169,NO,65.2,51.7,76.6
6,Race/Ethnicity,Hispanic,340,NO,70.4,62.5,77.3
6,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",129,NO,58.4,41.2,73.8
6,Age,18 to 29,279,NO,72.5,62.3,80.8
6,Age,30 to 44,348,NO,69.8,60.4,77.7
6,Age,45 to 64,438,NO,62.0,52.7,70.4
6,Age,65+,402,NO,47.6,36.8,58.6
6,Education,Less than high school,104,NO,75.4,58.8,86.8
6,Education,High school graduate,327,NO,73.3,64.0,80.9
6,Education,Some college,358,NO,63.2,53.1,72.2
6,Education,College graduate,683,NO,52.2,45.2,59.1
6,Income,"<$25,000",174,NO,71.1,57.9,81.5
6,Income,"$25,000 to <$50,000",294,NO,72.1,62.2,80.3
6,Income,"$50,000+",768,NO,58.1,51.0,64.9
6,Marital Status,Married,708,NO,60.2,52.8,67.2
6,Marital Status,Not married,760,NO,67.5,61.1,73.2
6,Employment Status,Employed,812,NO,67.7,61.2,73.5
6,Employment Status,Not employed,659,NO,57.6,50.2,64.7
6,Health Insurance,Health insurance,"1,230",NO,59.1,53.6,64.4
6,Health Insurance,No health insurance,178,NO,83.8,74.5,90.1
6,Disability Status,Has disability,439,NO,66.9,58.2,74.6
6,Disability Status,No disability,"1,037",NO,62.5,56.7,68.0
6,Sexual Orientation,"Gay, Lesbian, or Bisexual",79,NO,74.7,54.2,88.0
6,Sexual Orientation,Straight,"1,112",NO,61.7,55.6,67.5
7,Total,Total,"1,194",YES,41.3,37.6,45.2
7,Sex,Male,599,YES,40.1,34.9,45.5
7,Sex,Female,595,YES,42.4,37.1,47.9
7,Race/Ethnicity,"White, Non-Hispanic",771,YES,45.7,41.2,50.2
7,Race/Ethnicity,"Black, Non-Hispanic",69,YES,45.4,30.7,60.9
7,Race/Ethnicity,Hispanic,240,YES,35.3,27.9,43.5
7,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",95,YES,30.9,20.0,44.5
7,Age,18 to 29,244,YES,30.5,23.2,38.9
